file,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat,baseline
PT-TT-SNI-DSC-35-6-8843_m0191,62.5,66.67,29.55,67.89,65.45,64.22,66.07,64.22,62.5,62.5,62.5,62.5,37.84,62.5,62.5,62.5
PT-TT-SNI-DSC-35-6-8886_m0246,66.43,69.04,27.55,69.75,64.52,68.1,66.43,67.84,66.43,66.43,66.43,66.43,45.67,66.43,66.67,66.43
PT-TT-SNI-DSC-35-6-8886_m0247,66.2,62.77,19.23,63.38,65.22,61.11,64.34,65.71,66.2,66.2,66.2,66.2,44.59,63.38,66.67,66.2
PT-TT-SNI-DSC-35-6-8908_m0277,68.13,62.22,0.0,65.56,59.14,61.54,68.13,58.24,68.13,68.13,68.13,68.13,46.15,67.03,67.03,68.13
PT-TT-SNI-DSC-35-6-8933_m0314,73.31,69.75,44.15,71.88,70.77,72.84,73.08,72.84,73.31,73.31,73.31,73.31,47.2,73.31,72.03,73.31
PT-TT-SNI-DSC-35-6-8933_m0315,65.48,66.67,45.57,66.67,64.6,69.88,65.48,68.67,65.48,65.48,65.48,65.48,41.42,65.48,64.71,65.48
PT-TT-SNI-DSC-35-6-8969_m0357,65.74,66.22,40.42,67.12,63.7,65.74,65.99,64.56,65.74,65.74,65.74,65.74,37.09,65.74,64.6,65.74
PT-TT-SNI-DSC-35-6-8969_m0358,50.0,48.89,27.03,59.09,46.67,46.67,54.55,52.17,50.0,50.0,50.0,50.0,27.59,50.0,48.89,50.0
PT-TT-SNI-DSC-35-6-9038_m0442,61.54,57.69,16.22,59.26,52.63,58.82,59.26,53.85,61.54,61.54,61.54,61.54,24.49,42.55,61.54,61.54
PT-TT-SNI-DSC-35-6-9101_m0487,73.19,72.56,52.26,72.15,71.75,71.92,72.15,72.33,73.19,73.19,73.19,73.19,47.65,73.19,71.92,73.19
PT-TT-SNI-DSC-35-6-9101_m0488,73.08,70.19,48.17,72.38,71.7,71.43,71.09,71.29,73.08,73.08,73.08,73.08,50.25,73.08,72.73,73.08
PT-TT-SNI-DSC-35-6-9105_m0492,59.02,60.71,33.33,57.63,61.02,56.67,56.67,55.17,59.02,59.02,59.02,59.02,22.95,56.6,58.06,59.02
PT-TT-SNI-DSC-35-6-9105_m0493,68.59,66.27,57.85,67.91,62.82,66.67,68.81,67.9,68.59,68.59,68.59,68.59,20.35,68.59,69.21,68.59
