file,baseline,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat
PT-TT-SNI-DSC-35-2-6474_m0009,38.54,38.54,45.54,51.91,46.18,49.36,0.32,34.71,33.44,38.54,0.0,25.16,38.54,39.81,51.59,40.45
PT-TT-SNI-DSC-35-2-6488_m0023,36.54,36.54,42.95,38.14,28.85,16.67,0.32,35.58,21.79,36.54,0.32,19.87,36.54,21.79,29.17,35.9
PT-TT-SNI-DSC-35-2-6506_m0039,30.42,30.42,56.96,56.31,49.51,53.07,0.32,31.39,32.36,30.42,0.0,46.28,30.42,23.95,52.1,32.04
PT-TT-SNI-DSC-35-2-6535_m0086,55.71,55.71,64.64,37.5,57.5,81.07,77.5,59.64,80.71,55.71,0.0,78.21,55.71,46.43,65.0,77.5
PT-TT-SNI-DSC-35-2-6550_m0102,53.9,53.9,68.96,68.59,62.83,53.35,0.19,53.9,48.33,53.9,0.19,63.01,53.9,17.66,53.9,64.5
PT-TT-SNI-DSC-35-2-6557_m0043,47.85,47.85,54.84,55.38,54.84,45.43,0.27,47.31,24.73,47.85,0.27,45.43,47.85,30.91,50.54,48.92
PT-TT-SNI-DSC-35-2-6586_m0073,54.67,54.67,57.22,56.37,54.96,44.76,0.28,54.67,24.08,54.67,0.28,48.44,54.67,19.55,53.54,44.48
PT-TT-SNI-DSC-35-2-6622_m0161,76.15,76.15,76.86,71.2,77.56,78.8,5.3,75.97,73.5,76.15,0.18,73.67,76.15,63.25,78.45,80.21
PT-TT-SNI-DSC-35-2-6738_m0277,67.18,67.18,71.33,73.63,76.48,74.4,0.11,66.85,68.27,67.18,0.11,75.93,67.18,46.06,67.18,71.55
PT-TT-SNI-DSC-35-2-6782_m0322,64.04,64.04,61.26,70.61,62.72,63.3,2.63,63.45,45.32,64.04,0.15,72.08,64.04,32.46,64.04,65.35
PT-TT-SNI-DSC-35-2-6796_m0337,69.85,69.85,69.1,65.67,72.69,61.34,0.15,67.76,35.82,69.85,0.15,62.09,69.85,46.57,69.85,65.82
PT-TT-SNI-DSC-35-2-6856_m0389,73.58,73.58,40.54,27.2,70.85,66.71,1.42,73.06,60.62,73.58,0.13,72.54,73.58,56.22,69.69,72.8
PT-TT-SNI-DSC-35-2-6858_m0391,56.64,56.64,62.6,50.14,69.38,46.34,0.27,57.45,51.22,56.64,0.0,46.88,56.64,46.88,68.29,75.88
PT-TT-SNI-DSC-35-2-6904_m0438,27.66,27.66,17.03,14.84,26.37,28.21,16.85,27.11,25.09,27.66,0.18,31.87,27.66,18.13,33.15,28.75
PT-TT-SNI-DSC-35-2-6935_m0469,83.55,83.55,83.0,84.65,81.7,79.44,0.07,83.0,84.58,83.55,0.07,77.79,83.55,73.54,83.55,83.21
PT-TT-SNI-DSC-35-2-6935_m0470,76.03,76.03,76.03,77.07,77.89,77.27,0.21,75.62,65.29,76.03,0.21,59.3,76.03,68.18,76.03,74.59
PT-TT-SNI-DSC-35-2-6966_m0501,80.56,80.56,74.02,35.62,80.64,81.37,0.08,81.62,76.63,80.56,0.08,78.35,80.56,66.75,79.66,80.88
PT-TT-SNI-DSC-35-2-7053_m0590,66.78,66.78,62.54,61.48,65.19,67.31,0.18,65.19,35.69,66.78,0.0,54.06,66.78,51.94,63.96,69.26
PT-TT-SNI-DSC-35-2-7078_m0616,58.26,58.26,53.31,58.47,60.74,53.72,0.21,58.26,35.74,58.26,0.21,60.95,58.26,42.15,58.26,54.96
PT-TT-SNI-DSC-35-2-7169_m0700,34.66,34.66,36.06,48.39,43.42,41.77,0.08,34.08,36.72,34.66,0.08,37.88,34.66,34.66,34.66,27.21
PT-TT-SNI-DSC-35-2-7178_m0709,66.56,66.56,64.4,55.96,60.93,58.11,0.17,67.05,22.85,66.56,0.0,62.75,66.56,40.23,66.56,48.18
PT-TT-SNI-DSC-35-3-703_m0458,80.62,80.62,60.39,53.65,78.37,73.31,0.28,78.65,73.88,80.62,0.28,78.09,80.62,59.55,72.75,66.57
PT-TT-SNI-DSC-35-3-726_m0480,59.46,59.46,77.48,83.18,67.87,40.54,27.93,57.06,70.27,59.46,0.3,64.86,59.46,33.33,56.46,47.75
PT-TT-SNI-DSC-35-4-2431_m0200,83.98,83.98,85.27,68.22,83.46,79.33,0.26,82.69,76.74,83.98,0.26,81.65,83.98,61.5,83.98,81.65
PT-TT-SNI-DSC-35-4-2565_m0285,84.27,84.27,90.52,76.01,83.47,88.71,0.2,83.06,84.07,84.27,0.0,82.66,84.27,60.08,84.27,87.5
PT-TT-SNI-DSC-35-4-2803_m0513,23.29,23.29,25.06,23.29,23.8,67.59,70.89,23.04,66.84,23.29,0.25,34.68,23.29,57.47,66.33,52.41
PT-TT-SNI-DSC-35-4-2868_m0563,87.17,87.17,86.81,86.1,87.52,79.86,68.09,87.17,78.43,87.17,0.18,82.53,87.17,70.23,85.38,87.17
PT-TT-SNI-DSC-35-4-2896_m0582,82.92,82.92,83.03,80.05,83.99,78.02,68.1,82.92,76.94,82.92,0.12,78.61,82.92,67.98,84.47,82.44
PT-TT-SNI-DSC-35-4-3089_m0737,13.8,13.8,7.74,16.16,14.48,0.34,9.76,16.16,0.0,13.8,0.0,13.47,13.8,2.69,14.14,1.35
PT-TT-SNI-DSC-35-4-3165_m0812,84.91,84.91,85.01,77.95,85.69,80.56,71.95,84.43,76.11,84.91,0.1,81.43,84.91,36.94,84.91,84.43
PT-TT-SNI-DSC-35-4-3858_m0904,62.81,62.81,59.92,54.96,58.68,69.42,53.72,63.64,58.26,62.81,0.0,59.09,62.81,54.96,64.46,60.74
PT-TT-SNI-DSC-35-4-3926_m0972,79.8,79.8,84.21,80.94,80.09,80.09,77.24,79.66,71.69,79.8,0.14,78.52,79.8,70.27,81.22,80.37
PT-TT-SNI-DSC-35-5-4347_m0076,88.57,88.57,84.64,88.48,86.88,83.75,0.09,88.04,81.96,88.57,0.09,91.43,88.57,39.82,92.59,86.88
PT-TT-SNI-DSC-35-5-4347_m0077,90.5,90.5,90.97,89.31,89.79,86.94,0.24,89.55,82.42,90.5,0.0,88.12,90.5,51.07,81.71,89.07
PT-TT-SNI-DSC-35-5-4581_m0288,74.96,74.96,13.01,3.46,76.61,76.44,4.12,75.95,75.29,74.96,0.0,76.11,74.96,44.81,73.15,71.0
