file,baseline,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat,adaptive_threshold0,adaptive_threshold1
PT-TT-SNI-DSC-35-2-6474_m0009,29.63,5.63,23.16,7.41,22.73,21.62,25.29,22.86,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
PT-TT-SNI-DSC-35-2-6488_m0023,22.47,18.18,25.0,8.57,17.78,12.77,22.22,7.69,6.9,0.0,0.0,0.0,0.0,0.0,16.16,0.0,0.0
PT-TT-SNI-DSC-35-2-6506_m0039,37.33,0.0,37.65,2.94,19.35,27.69,28.95,24.0,7.84,0.0,3.57,0.0,0.0,0.0,34.78,0.0,0.0
PT-TT-SNI-DSC-35-2-6535_m0086,54.76,4.08,57.14,21.54,60.22,59.34,51.76,65.85,46.34,0.0,59.52,0.0,27.85,2.99,51.49,0.0,0.0
PT-TT-SNI-DSC-35-2-6550_m0102,45.9,30.4,36.73,21.85,37.41,24.43,44.44,31.25,31.03,0.0,16.07,0.0,4.55,4.6,40.52,0.0,0.0
PT-TT-SNI-DSC-35-2-6557_m0043,28.81,21.95,26.17,19.75,25.0,27.66,37.61,15.69,0.0,0.0,13.48,0.0,0.0,0.0,32.0,0.0,0.0
PT-TT-SNI-DSC-35-2-6586_m0073,37.11,5.56,27.72,19.35,22.68,31.78,37.89,17.95,0.0,0.0,0.0,0.0,0.0,0.0,29.47,0.0,0.0
PT-TT-SNI-DSC-35-2-6622_m0161,45.09,36.36,42.95,27.07,38.36,42.58,41.38,42.58,15.38,0.0,36.5,0.0,10.14,0.0,44.97,0.0,0.0
PT-TT-SNI-DSC-35-2-6738_m0277,56.86,52.13,52.53,48.15,58.6,40.54,55.17,0.0,28.12,0.0,40.41,0.0,8.38,1.01,52.58,0.0,0.0
PT-TT-SNI-DSC-35-2-6782_m0322,52.63,39.08,49.16,38.55,46.51,30.95,53.18,19.88,17.89,0.0,41.03,0.0,9.3,0.0,43.58,0.0,0.0
PT-TT-SNI-DSC-35-2-6796_m0337,52.27,40.48,44.81,31.71,44.05,28.12,51.98,27.16,26.42,0.0,33.13,0.0,10.13,0.0,53.55,0.0,0.0
PT-TT-SNI-DSC-35-2-6856_m0389,48.31,0.0,5.04,0.0,5.56,41.03,36.19,35.78,20.49,0.0,31.37,0.0,7.59,0.0,50.96,0.0,0.0
PT-TT-SNI-DSC-35-2-6858_m0391,48.35,0.0,18.39,0.0,13.11,33.64,45.16,26.55,17.58,0.0,25.26,0.0,7.79,0.0,41.12,0.0,0.0
PT-TT-SNI-DSC-35-2-6904_m0438,16.98,0.0,2.27,0.0,7.32,21.58,14.81,19.05,2.3,0.0,12.24,0.0,0.0,0.0,22.54,0.0,0.0
PT-TT-SNI-DSC-35-2-6935_m0469,66.46,26.98,62.39,15.64,60.49,52.17,64.37,0.0,5.32,0.0,40.94,0.0,1.18,0.0,66.87,0.0,0.0
PT-TT-SNI-DSC-35-2-6935_m0470,57.55,39.02,53.33,12.5,49.28,47.76,54.17,46.51,0.0,0.0,26.0,0.0,0.0,0.0,56.16,0.0,0.0
PT-TT-SNI-DSC-35-2-6966_m0501,53.38,0.0,3.66,0.0,4.88,42.32,57.43,47.42,11.48,0.0,29.73,0.0,6.22,0.0,53.9,0.0,0.0
PT-TT-SNI-DSC-35-2-7053_m0590,48.92,8.6,41.96,4.71,26.03,25.86,48.53,21.67,8.4,0.0,18.18,0.0,7.55,0.0,48.98,0.0,0.0
PT-TT-SNI-DSC-35-2-7078_m0616,43.86,33.85,33.33,23.01,46.67,20.37,52.1,16.82,14.0,0.0,26.89,0.0,0.0,0.0,52.11,0.0,0.0
PT-TT-SNI-DSC-35-2-7169_m0700,21.77,20.18,25.75,2.5,26.5,18.88,22.76,18.88,6.94,0.0,11.02,0.0,0.0,0.0,28.1,0.0,0.0
PT-TT-SNI-DSC-35-2-7178_m0709,35.71,2.47,29.58,0.0,3.96,23.88,36.36,14.75,4.6,0.0,27.2,0.0,0.0,0.0,30.95,0.0,0.0
PT-TT-SNI-DSC-35-3-703_m0458,45.16,3.77,13.11,3.92,9.68,25.29,33.33,28.26,15.0,0.0,23.08,4.17,0.0,0.0,27.59,0.0,0.0
PT-TT-SNI-DSC-35-3-726_m0480,44.94,16.39,31.17,22.54,40.0,46.15,30.43,36.96,0.0,0.0,20.45,4.26,4.08,0.0,25.64,0.0,0.0
PT-TT-SNI-DSC-35-4-2431_m0200,50.49,13.79,33.33,23.91,26.8,41.58,40.0,36.0,22.73,0.0,25.58,0.0,12.99,0.0,46.94,0.0,0.0
PT-TT-SNI-DSC-35-4-2565_m0285,65.15,41.44,50.85,34.55,38.4,60.94,58.06,60.94,21.78,0.0,27.83,0.0,4.94,2.22,59.54,0.0,0.0
PT-TT-SNI-DSC-35-4-2803_m0513,25.0,2.67,19.28,0.0,22.22,40.37,16.44,40.78,16.0,0.0,18.6,0.0,11.76,2.22,64.29,0.0,0.0
PT-TT-SNI-DSC-35-4-2868_m0563,68.09,26.77,54.93,21.54,45.75,60.99,68.57,45.71,29.69,0.0,37.04,0.0,7.69,0.0,64.0,0.0,0.0
PT-TT-SNI-DSC-35-4-2896_m0582,63.81,7.81,50.0,13.1,30.77,52.48,45.79,53.27,0.0,0.0,38.42,0.0,0.0,0.0,57.0,0.0,0.0
PT-TT-SNI-DSC-35-4-3089_m0737,15.69,0.0,10.64,6.12,12.0,16.51,15.69,14.04,8.6,0.0,5.71,0.0,6.15,0.0,15.38,0.0,0.0
PT-TT-SNI-DSC-35-4-3165_m0812,65.87,38.87,47.62,31.8,53.82,56.35,58.5,45.19,6.3,0.0,15.12,0.0,0.0,2.41,60.91,0.0,0.0
PT-TT-SNI-DSC-35-4-3858_m0904,35.82,13.95,22.58,15.38,25.93,27.12,33.33,18.18,5.56,0.0,15.87,0.0,0.0,0.0,30.0,0.0,0.0
PT-TT-SNI-DSC-35-4-3926_m0972,62.07,8.16,54.35,3.92,56.82,54.44,58.29,34.25,30.19,0.0,30.0,0.0,18.75,0.0,53.33,0.0,0.0
PT-TT-SNI-DSC-35-5-4347_m0076,72.06,4.26,59.46,25.53,0.0,7.37,67.65,40.57,15.14,0.0,22.78,0.0,5.58,1.75,48.94,0.0,0.0
PT-TT-SNI-DSC-35-5-4347_m0077,71.15,24.39,56.07,34.0,34.0,0.0,66.04,50.47,24.3,0.0,28.57,0.0,9.43,0.0,49.09,0.0,0.0
PT-TT-SNI-DSC-35-5-4581_m0288,53.33,0.0,0.0,0.0,0.0,63.09,32.47,55.78,16.18,0.0,15.76,0.0,6.84,0.0,52.63,0.0,0.0
PT-TT-SNI-DSC-35-5-4666_m0370,58.44,7.06,9.2,9.2,4.49,46.9,50.63,55.71,20.0,0.0,23.45,0.0,12.5,0.0,51.81,0.0,0.0
PT-TT-SNI-DSC-35-5-4683_m0384,52.38,0.0,22.22,3.77,0.0,43.37,27.59,32.91,19.28,0.0,19.78,0.0,5.56,0.0,52.63,0.0,0.0
PT-TT-SNI-DSC-35-5-4685_m0386,41.48,8.57,30.0,8.99,10.26,31.01,42.03,31.88,10.17,0.0,11.59,0.0,0.0,0.0,29.93,0.0,0.0
PT-TT-SNI-DSC-35-5-4772_m0468,59.7,0.0,17.78,0.0,5.41,47.62,43.48,48.39,0.0,0.0,0.0,0.0,0.0,0.0,46.15,0.0,0.0
